DATE_TIME	PLANT_ID	SOURCE_KEY	DC_POWER	AC_POWER	DAILY_YIELD	TOTAL_YIELD
string	continuous	1BY6WEcLGh8j5v7 1IF53ai7Xc0U56Y 3PZuoBAID5Wc2HD 7JYdWkrLSPkdwr4 McdE0feGgRqW7Ca VHMLBKoKgIrUVDU WRmjgnKYAwPKWDb YxYtjZvoooNbGkE ZnxXDlPa8U1GXgE ZoEaEvLYb1n2sOq adLQvlD726eNBSB bvBOhCH3iADSZry iCRJl6heRkivqQ3 ih0vzX44oOqAx2f pkci93gMrogZuBj rGa61gmuvPhdLxV sjndEbLyjtCKgGv uHbuxQJl8lW7ozc wCURE6d3bPkepu2 z9Y9gH1T5YWrNuG zBIq5rxdHJRwDNY zVJPv84UY57bAof	continuous	continuous	continuous	continuous
meta						
10-06-2020 19:00	4135001	uHbuxQJl8lW7ozc	0	0	6645	7240508.000
28-05-2020 00:15	4135001	rGa61gmuvPhdLxV	0	0	0	7206549.000
17-05-2020 15:15	4135001	sjndEbLyjtCKgGv	7333.88	718.062	6442	7036055.000
01-06-2020 04:15	4135001	ih0vzX44oOqAx2f	0	0	0	6308232.000
17-05-2020 09:00	4135001	z9Y9gH1T5YWrNuG	7665.5	750.438	961.375	7021701.375
11-06-2020 20:30	4135001	ih0vzX44oOqAx2f	0	0	5521	6386553.000
22-05-2020 01:30	4135001	ih0vzX44oOqAx2f	0	0	0	6233543.000
31-05-2020 13:45	4135001	1BY6WEcLGh8j5v7	3661.14	358.714	4605.86	6376733.857
10-06-2020 14:45	4135001	zVJPv84UY57bAof	962.875	93.5125	5609.75	7316065.750
21-05-2020 16:00	4135001	adLQvlD726eNBSB	4058.75	398.688	7573.12	6321188.125
14-06-2020 17:45	4135001	3PZuoBAID5Wc2HD	568	54.9625	7480.12	7218199.125
26-05-2020 12:15	4135001	bvBOhCH3iADSZry	11830.1	1153.83	4028.14	6396364.143
11-06-2020 07:00	4135001	pkci93gMrogZuBj	822.857	79.8571	35.1429	7369329.143
01-06-2020 19:45	4135001	ZoEaEvLYb1n2sOq	0	0	5796	7228440.000
01-06-2020 08:00	4135001	uHbuxQJl8lW7ozc	6027.71	590.614	482.143	7165835.143
22-05-2020 20:15	4135001	ZnxXDlPa8U1GXgE	0	0	7275	6579139.000
22-05-2020 06:45	4135001	sjndEbLyjtCKgGv	1182	114.943	55.1429	7065941.143
31-05-2020 07:45	4135001	3PZuoBAID5Wc2HD	2253.12	220.887	197.875	7109685.875
15-05-2020 22:45	4135001	WRmjgnKYAwPKWDb	0	0	0	7034815.000
19-05-2020 13:30	4135001	rGa61gmuvPhdLxV	7763.43	759.929	4325.29	7141227.286
31-05-2020 01:15	4135001	1IF53ai7Xc0U56Y	0	0	0	6305543.000
29-05-2020 19:00	4135001	WRmjgnKYAwPKWDb	0	0	8038	7140899.000
15-05-2020 01:15	4135001	McdE0feGgRqW7Ca	0	0	0	7158964.000
08-06-2020 18:15	4135001	zBIq5rxdHJRwDNY	453.625	43.875	8350.5	6523261.500
17-06-2020 04:30	4135001	ih0vzX44oOqAx2f	0	0	0	6420371.000
04-06-2020 18:00	4135001	WRmjgnKYAwPKWDb	780.857	75.7714	8022	7182649.000
27-05-2020 13:00	4135001	1BY6WEcLGh8j5v7	7683	751.625	4121.38	6347790.375
25-05-2020 20:30	4135001	pkci93gMrogZuBj	0	0	8812	7250519.000
04-06-2020 05:00	4135001	wCURE6d3bPkepu2	0	0	0	6930776.000
08-06-2020 20:00	4135001	McdE0feGgRqW7Ca	0	0	8580	7346782.000
02-06-2020 14:00	4135001	pkci93gMrogZuBj	6763.88	662.487	5415.62	7305715.625
30-05-2020 03:30	4135001	uHbuxQJl8lW7ozc	0	0	0	7151932.000
19-05-2020 19:30	4135001	ZoEaEvLYb1n2sOq	0	0	6805	7130332.000
16-06-2020 10:45	4135001	WRmjgnKYAwPKWDb	8655.29	846.471	2375.14	7263690.143
27-05-2020 23:30	4135001	ih0vzX44oOqAx2f	0	0	6564	6278855.000
23-05-2020 02:45	4135001	bvBOhCH3iADSZry	0	0	0	6368908.000
14-06-2020 03:00	4135001	iCRJl6heRkivqQ3	0	0	0	7399855.000
08-06-2020 05:15	4135001	zVJPv84UY57bAof	0	0	0	7293790.000
